,Rating,Review Date,Location,Username,Review,Fit Feedback,Comfort Feedback,Recommend Feedback,title,IsPromoReview,subtitle,colorDescription,fullPrice,discounted,employeePrice,currentPrice,isLaunch,pid,label
1590,5,"Nov 18, 2022",South Carolina,OgCook1017,"Trendsetter Jordan’s is what I call them!
Fantastic buy! I love the colors first thing that caught my eyes!! I’m very noticeable when I arrive there fresh.. First comment that comes from people is those are fresh! I love the attention I get when wearing these Js .. My friends even went out and bought a pair!
OgCook1017
Nov 18, 2022
Location
South Carolina
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,Lucky Green/White/Black,125,True,60.58,100.97,False,1010128831,IN_STOCK
1591,5,"Nov 18, 2022",South Carolina,OgCook1017,"Trendsetter Jordan’s is what I call them!
Fantastic buy! I love the colors first thing that caught my eyes!! I’m very noticeable when I arrive there fresh.. First comment that comes from people is those are fresh! I love the attention I get when wearing these Js .. My friends even went out and bought a pair!
OgCook1017
Nov 18, 2022
Location
South Carolina
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,University Blue/White/Black,125,False,75.0,125.0,False,1012356738,IN_STOCK
1592,5,"Nov 18, 2022",South Carolina,OgCook1017,"Trendsetter Jordan’s is what I call them!
Fantastic buy! I love the colors first thing that caught my eyes!! I’m very noticeable when I arrive there fresh.. First comment that comes from people is those are fresh! I love the attention I get when wearing these Js .. My friends even went out and bought a pair!
OgCook1017
Nov 18, 2022
Location
South Carolina
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Action Grape/Sail/Sky J Light Purple,125,False,75.0,125.0,False,1012356868,IN_STOCK
1593,5,"Nov 18, 2022",South Carolina,OgCook1017,"Trendsetter Jordan’s is what I call them!
Fantastic buy! I love the colors first thing that caught my eyes!! I’m very noticeable when I arrive there fresh.. First comment that comes from people is those are fresh! I love the attention I get when wearing these Js .. My friends even went out and bought a pair!
OgCook1017
Nov 18, 2022
Location
South Carolina
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Lemon Wash/White/Lapis,125,True,60.58,100.97,False,1003839142,IN_STOCK
1594,5,"Nov 18, 2022",South Carolina,OgCook1017,"Trendsetter Jordan’s is what I call them!
Fantastic buy! I love the colors first thing that caught my eyes!! I’m very noticeable when I arrive there fresh.. First comment that comes from people is those are fresh! I love the attention I get when wearing these Js .. My friends even went out and bought a pair!
OgCook1017
Nov 18, 2022
Location
South Carolina
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Shoes,White/White/White,125,False,75.0,125.0,False,14248558,IN_STOCK
1595,5,"Nov 18, 2022",Roxboro NC,Newman35,"Yes buddy I’m super excited about this one 💯💯💯?
Ice cold super fast delivery I’m very excited about this it’s a wonderful purchase. I looked everywhere and couldn’t find them. I’m beyond excited
Newman35
Nov 18, 2022
Location
Roxboro NC
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,Lucky Green/White/Black,125,True,60.58,100.97,False,1010128831,IN_STOCK
1596,5,"Nov 18, 2022",Roxboro NC,Newman35,"Yes buddy I’m super excited about this one 💯💯💯?
Ice cold super fast delivery I’m very excited about this it’s a wonderful purchase. I looked everywhere and couldn’t find them. I’m beyond excited
Newman35
Nov 18, 2022
Location
Roxboro NC
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,University Blue/White/Black,125,False,75.0,125.0,False,1012356738,IN_STOCK
1597,5,"Nov 18, 2022",Roxboro NC,Newman35,"Yes buddy I’m super excited about this one 💯💯💯?
Ice cold super fast delivery I’m very excited about this it’s a wonderful purchase. I looked everywhere and couldn’t find them. I’m beyond excited
Newman35
Nov 18, 2022
Location
Roxboro NC
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Action Grape/Sail/Sky J Light Purple,125,False,75.0,125.0,False,1012356868,IN_STOCK
1598,5,"Nov 18, 2022",Roxboro NC,Newman35,"Yes buddy I’m super excited about this one 💯💯💯?
Ice cold super fast delivery I’m very excited about this it’s a wonderful purchase. I looked everywhere and couldn’t find them. I’m beyond excited
Newman35
Nov 18, 2022
Location
Roxboro NC
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Lemon Wash/White/Lapis,125,True,60.58,100.97,False,1003839142,IN_STOCK
1599,5,"Nov 18, 2022",Roxboro NC,Newman35,"Yes buddy I’m super excited about this one 💯💯💯?
Ice cold super fast delivery I’m very excited about this it’s a wonderful purchase. I looked everywhere and couldn’t find them. I’m beyond excited
Newman35
Nov 18, 2022
Location
Roxboro NC
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Shoes,White/White/White,125,False,75.0,125.0,False,14248558,IN_STOCK
1600,5,"Nov 15, 2022",Georgia,MsCiara,"Love them alot
Fire shoes fr fr I love the colors in memory of my friend LLT1
MsCiara
Nov 15, 2022
Location
Georgia
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,Lucky Green/White/Black,125,True,60.58,100.97,False,1010128831,IN_STOCK
1601,5,"Nov 15, 2022",Georgia,MsCiara,"Love them alot
Fire shoes fr fr I love the colors in memory of my friend LLT1
MsCiara
Nov 15, 2022
Location
Georgia
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,University Blue/White/Black,125,False,75.0,125.0,False,1012356738,IN_STOCK
1602,5,"Nov 15, 2022",Georgia,MsCiara,"Love them alot
Fire shoes fr fr I love the colors in memory of my friend LLT1
MsCiara
Nov 15, 2022
Location
Georgia
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Action Grape/Sail/Sky J Light Purple,125,False,75.0,125.0,False,1012356868,IN_STOCK
1603,5,"Nov 15, 2022",Georgia,MsCiara,"Love them alot
Fire shoes fr fr I love the colors in memory of my friend LLT1
MsCiara
Nov 15, 2022
Location
Georgia
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Lemon Wash/White/Lapis,125,True,60.58,100.97,False,1003839142,IN_STOCK
1604,5,"Nov 15, 2022",Georgia,MsCiara,"Love them alot
Fire shoes fr fr I love the colors in memory of my friend LLT1
MsCiara
Nov 15, 2022
Location
Georgia
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Shoes,White/White/White,125,False,75.0,125.0,False,14248558,IN_STOCK
1605,4,"Nov 15, 2022",Ohio,Maniblo,"Laker pro
Laker proof, they look like the shoes the Lakers would wear coming to the press room after the game.
Maniblo
Nov 15, 2022
Location
Ohio
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,Lucky Green/White/Black,125,True,60.58,100.97,False,1010128831,IN_STOCK
1606,4,"Nov 15, 2022",Ohio,Maniblo,"Laker pro
Laker proof, they look like the shoes the Lakers would wear coming to the press room after the game.
Maniblo
Nov 15, 2022
Location
Ohio
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,University Blue/White/Black,125,False,75.0,125.0,False,1012356738,IN_STOCK
1607,4,"Nov 15, 2022",Ohio,Maniblo,"Laker pro
Laker proof, they look like the shoes the Lakers would wear coming to the press room after the game.
Maniblo
Nov 15, 2022
Location
Ohio
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Action Grape/Sail/Sky J Light Purple,125,False,75.0,125.0,False,1012356868,IN_STOCK
1608,4,"Nov 15, 2022",Ohio,Maniblo,"Laker pro
Laker proof, they look like the shoes the Lakers would wear coming to the press room after the game.
Maniblo
Nov 15, 2022
Location
Ohio
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Lemon Wash/White/Lapis,125,True,60.58,100.97,False,1003839142,IN_STOCK
1609,4,"Nov 15, 2022",Ohio,Maniblo,"Laker pro
Laker proof, they look like the shoes the Lakers would wear coming to the press room after the game.
Maniblo
Nov 15, 2022
Location
Ohio
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Shoes,White/White/White,125,False,75.0,125.0,False,14248558,IN_STOCK
1610,5,"Nov 14, 2022",Las Vegas,Location,"Great shopping experience!
Great place to shop !!! Everyone is very helpful. Lots of gear to choose from.
Los Dog
Nov 14, 2022
Location
Las Vegas
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,Lucky Green/White/Black,125,True,60.58,100.97,False,1010128831,IN_STOCK
1611,5,"Nov 14, 2022",Las Vegas,Location,"Great shopping experience!
Great place to shop !!! Everyone is very helpful. Lots of gear to choose from.
Los Dog
Nov 14, 2022
Location
Las Vegas
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,University Blue/White/Black,125,False,75.0,125.0,False,1012356738,IN_STOCK
1612,5,"Nov 14, 2022",Las Vegas,Location,"Great shopping experience!
Great place to shop !!! Everyone is very helpful. Lots of gear to choose from.
Los Dog
Nov 14, 2022
Location
Las Vegas
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Action Grape/Sail/Sky J Light Purple,125,False,75.0,125.0,False,1012356868,IN_STOCK
